# en-US British -> American spelling corpus. GENERATED -- do not edit by hand.
# Regenerate: ./.venv/bin/python bin/gen_british_spellings.py
# Source: VarCon (SCOWL) -- https://github.com/en-wl/wordlist (public domain).
#   Vendored copy + license: config/en-US/varcon.txt
# Filter: British-only forms (no American tag in the headword), SCOWL level <= 60.
# House-style adds/exclusions: config/en-US/british-american.overrides.txt
# Format: <british><TAB><american>, one pair per line, sorted.

discolouration	discoloration
discolourations	discolorations
discoloured	discolored
discoloureds	discoloreds
discolouring	discoloring
discolours	discolors
disembowelled	disemboweled
disembowelling	disemboweling
disfavour	disfavor
disfavoured	disfavored
disfavouring	disfavoring
disfavours	disfavors
dishevelled	disheveled
dishevelling	disheveling
dishonour	dishonor
dishonourable	dishonorable
dishonourabler	dishonorabler
dishonourables	dishonorables
dishonourablest	dishonorablest
dishonourablier	dishonorablier
dishonourablies	dishonorablies
dishonourabliest	dishonorabliest
dishonourably	dishonorably
dishonoured	dishonored
dishonouring	dishonoring
dishonours	dishonors
disorganisation	disorganization
disorganisations	disorganizations
disorganise	disorganize
disorganised	disorganized
disorganises	disorganizes
disorganising	disorganizing
dolour	dolor
dolours	dolors
dowelled	doweled
dowelling	doweling
downdraught	downdraft
dramatisation	dramatization
dramatisations	dramatizations
dramatise	dramatize
dramatised	dramatized
dramatises	dramatizes
dramatising	dramatizing
draughted	drafted
draughtier	draftier
draughtiest	draftiest
draughtilier	draftilier
draughtiliest	draftiliest
draughtily	draftily
draughtiness	draftiness
draughtinesses	draftinesses
draughting	drafting
draughtsmanship	draftsmanship
draughtsmanships	draftsmanships
draughtswoman	draftswoman
draughtswomen	draftswomen
draughty	drafty
dreamt	dreamed
drivelled	driveled
driveller	driveler
drivellers	drivelers
drivelling	driveling
duelled	dueled
dueller	dueler
duellers	duelers
duelling	dueling
duellings	duelings
duellist	duelist
duellists	duelists
economise	economize
economised	economized
economiser	economizer
economisers	economizers
economises	economizes
economising	economizing
editorialise	editorialize
editorialised	editorialized
editorialises	editorializes
editorialising	editorializing
elasticise	elasticize
elasticised	elasticized
elasticises	elasticizes
elasticising	elasticizing
emotionalise	emotionalize
emotionalised	emotionalized
emotionalises	emotionalizes
emotionalising	emotionalizing
empanelled	impaneled
empanelling	impaneling
empathise	empathize
empathised	empathized
empathises	empathizes
empathising	empathizing
emphasise	emphasize
emphasised	emphasized
emphasises	emphasizes
emphasising	emphasizing
enamelled	enameled
enameller	enameler
enamellers	enamelers
enamelling	enameling
enamellings	enamelings
enamour	enamor
enamoured	enamored
enamoureds	enamoreds
enamouring	enamoring
enamours	enamors
endeavour	endeavor
